Age,Gender,Weight (kg),Height (m),BMI,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,Workout_Type,diet_type,Carbs,Proteins,Fats,Calories,pct_carbs,protein_per_kg,lean_mass_kg,cal_balance,Calories_Burned,Burns Calories (per 30 min),Burns_Calories_Bin,cluster
34.91,Male,65.27,1.62,24.8704465782655,26.800377179186803,1.5,3.99,Intermediate,Strength,Vegan,267.68,106.05,71.63,1806.0,0.6010418537812107,1.624789336601808,47.77739381514478,725.0999999999999,1080.9,342.58,Medium,0
23.37,Female,56.41,1.55,23.479708636836623,27.65502094955822,1.9,4.0,Intermediate,HIIT,Vegetarian,214.32,85.41,56.97,1577.0,0.6008410428931874,1.5140932458783904,40.8098026823542,-232.91000000000008,1809.91,357.16,High,0
33.2,Female,58.98,1.67,21.148122915844954,24.32082112410528,1.88,2.99,Beginner,Cardio,Paleo,246.04,98.11,65.48,1608.0,0.6006396015916803,1.6634452356731095,44.635579701002705,805.74,802.26,359.63,High,0
38.69,Female,93.78,1.7,32.44982698961938,32.81357178608907,2.5,3.99,Intermediate,HIIT,Paleo,203.22,80.84,54.56,2657.0,0.6001417518161951,0.8620174877372574,63.00743237900567,1206.21,1450.79,351.65,High,1
45.09,Male,52.42,1.88,14.831371661385244,17.307318603384633,2.91,4.0,Intermediate,Strength,Vegan,332.79,133.05,88.43,1470.0,0.6004113518682231,2.538153376573827,43.34750358810577,303.5999999999999,1166.4,329.36,Low,0
53.19,Female,105.05,1.84,31.028473534971642,32.04906403773502,2.91,3.02,Beginner,Yoga,Keto,170.86,67.92,46.06,2767.0,0.5998455273135795,0.6465492622560686,71.38245822835935,2313.67,453.33,374.56,Very High,1
23.17,Male,58.41,1.78,18.435172326726423,20.54629200523472,2.71,4.96,Advanced,Strength,Low-Carb,280.33,112.35,74.97,1867.0,0.5994440286539078,1.923472008217771,46.4089108397424,-86.90000000000009,1953.9,328.94,Low,0
55.92,Female,84.07,1.63,31.642139335315594,32.08817620708069,2.88,3.97,Intermediate,Yoga,Low-Carb,262.57,105.41,70.37,2191.0,0.5989962358845671,1.2538360889734745,57.093470262707264,1463.19,727.81,363.56,Very High,1
24.11,Female,88.58,1.79,27.645828781873224,27.36724576855457,3.49,4.01,Advanced,Strength,Vegan,173.08,69.44,45.91,2587.0,0.6000762750060673,0.7839241363738992,64.33809369821437,524.6300000000001,2062.37,349.51,High,1
39.19,Female,50.32,1.6,19.656249999999996,21.90937914793248,2.49,2.0,Beginner,Strength,Paleo,191.06,76.76,50.71,1247.0,0.5998179135403259,1.5254372019077902,39.29520041276037,89.75,1157.25,326.31,Low,0
50.51,Male,86.37,1.63,32.507809853588775,29.07152849804965,3.49,4.01,Advanced,Strength,Keto,258.98,102.72,68.72,2476.0,0.6016913712188094,1.189301840916985,61.260920836234526,501.74,1974.26,356.2,High,1
47.77,Female,83.89,1.82,25.32604757879483,23.64931819941694,3.51,5.02,Advanced,HIIT,Keto,231.16,93.27,61.23,2232.0,0.599388062023544,1.1118130885683633,64.05058696250913,-501.4000000000001,2733.4,361.13,Very High,1
19.0,Male,82.66,1.96,21.5170762182424,24.128786918912287,3.5,5.02,Advanced,HIIT,Vegan,181.82,71.6,48.11,2569.0,0.6029914104732531,0.8661988870070166,62.7151447328271,-131.6199999999999,2700.62,357.96,High,1
38.01,Female,57.67,1.56,23.6974030243261,26.59443119940612,2.71,5.0,Advanced,HIIT,Low-Carb,369.71,147.77,98.38,1726.0,0.6003150066573572,2.5623374371423617,42.33299152730249,-619.1999999999998,2345.2,338.54,Medium,0
27.39,Female,71.79,1.97,18.498286479940223,24.477762525783994,3.59,3.01,Beginner,Strength,Low-Carb,207.16,82.59,55.08,2046.0,0.6007597946814373,1.1504387797743418,54.217414282739675,1302.15,743.85,356.83,High,1
18.86,Female,95.12,1.85,27.792549306062817,28.04992817494376,2.3,4.0,Intermediate,Strength,Paleo,298.25,118.86,79.54,2455.0,0.6005235075002516,1.2495794785534062,68.4389083199935,1161.16,1293.84,359.74,High,1
40.36,Male,56.88,1.71,19.45213911972915,21.80926489283508,2.69,5.02,Advanced,Strength,Paleo,192.66,76.8,51.19,1740.0,0.6008420396070482,1.350210970464135,44.47489012895541,-449.5799999999999,2189.58,342.47,Medium,0
37.14,Male,76.48,1.77,24.411886750295253,30.300737914959768,2.09,4.0,Intermediate,Cardio,Low-Carb,233.62,92.99,62.41,2166.0,0.6005346768803661,1.215873430962343,53.30599564263877,860.4000000000001,1305.6,356.98,High,0
18.93,Male,72.56,1.79,22.645984831934086,26.40511440359576,1.58,2.99,Beginner,Strength,Vegetarian,219.75,87.27,58.09,1802.0,0.6018734080140231,1.202728776185226,53.40044898875092,998.64,803.36,332.12,Low,0
46.0,Male,60.05,1.68,21.27621882086168,21.804029360668224,2.51,4.01,Intermediate,HIIT,Vegetarian,247.96,99.4,66.24,1716.0,0.5995164410058027,1.6552872606161533,46.95668036891873,171.5999999999999,1544.4,350.23,High,0
37.06,Female,73.04,1.74,24.124719249570617,25.78541781279678,2.39,3.0,Intermediate,Strength,Vegan,300.3,120.63,80.22,2038.0,0.5992217898832686,1.6515607886089811,54.20633082953324,914.8,1123.2,333.67,Low,0
50.23,Female,86.72,1.63,32.63954232376078,29.12385208982389,3.51,4.0,Advanced,Yoga,Balanced,256.65,103.91,68.88,2212.0,0.597638785394933,1.1982241697416973,61.46379546770473,886.0,1326.0,356.6,High,1
30.9,Female,76.77,1.71,26.254232071406587,29.31860660365026,1.82,3.98,Intermediate,Cardio,Paleo,222.21,89.25,58.85,2182.0,0.6000648105641219,1.1625635013677218,54.26210571037769,967.8800000000001,1214.12,353.43,High,0
24.03,Female,88.29,1.79,27.555319746574703,26.7693540494346,3.48,4.01,Advanced,Cardio,Keto,174.44,69.19,46.48,2410.0,0.6012891661783462,0.783667459508438,64.65533730975419,578.19,1831.81,350.66,High,1
50.53,Male,57.01,1.91,15.627312847783777,22.39259644326159,2.72,3.99,Intermediate,Strength,Keto,177.97,71.05,47.3,1510.0,0.6006007019438445,1.2462725837572355,44.24398076769656,332.79999999999995,1177.2,360.04,High,0
54.03,Female,87.22,1.76,28.15728305785124,28.418499463942585,3.39,3.0,Intermediate,Yoga,Keto,296.87,118.4,79.38,2269.0,0.6001617305165269,1.3574868149506996,62.43338476754927,1201.62,1067.38,338.3,Medium,1
25.11,Female,105.44,1.88,29.83250339520145,30.892571504733954,2.28,2.99,Intermediate,Cardio,Balanced,198.29,79.79,52.85,3016.0,0.5991901610612516,0.7567336874051594,72.86687260540852,1738.14,1277.86,355.39,High,1
39.05,Male,102.34,1.94,27.192050164735893,32.46285886287696,2.41,3.01,Beginner,Cardio,Vegan,282.28,111.71,74.89,2624.0,0.6020303702439856,1.0915575532538595,69.11751023973171,1832.0,792.0,368.66,Very High,1
44.1,Female,89.6,1.99,22.62569127042246,23.09052321392091,2.02,4.0,Intermediate,HIIT,Paleo,321.28,128.81,85.61,2601.0,0.599738659697592,1.4376116071428573,68.91089120032686,753.0,1848.0,339.35,Medium,1
18.06,Male,58.56,1.61,22.591720998418268,24.496921662616764,2.72,3.99,Advanced,Strength,Low-Carb,231.25,92.48,61.37,1549.0,0.6004933783432874,1.5792349726775956,44.214602674371626,-677.4200000000001,2226.42,334.26,Low,0
57.07,Female,76.9,1.86,22.22800323736848,29.439410708808744,2.8,3.99,Intermediate,Yoga,Vegetarian,207.11,82.81,55.52,1981.0,0.5995541917554423,1.076853055916775,54.26109316492608,1153.69,827.31,353.89,High,1
